source_row,course_id,raw_time,room_id,building,floor,room_number,capacity,raw_room
198,12849003,"화1 ,화2 ,화3",AI관-507,AI관,5,507,40,AI관-507
199,12849007,"수4 ,수5 ,수6",AI관-507,AI관,5,507,40,AI관-507
202,13974005,"월5 ,월6 ,금10",AI관-507,AI관,5,507,40,AI관-507
203,14206001,"월8 ,목8 ,목9",AI관-507,AI관,5,507,40,AI관-507
204,14206002,"목7 ,금8 ,금9",AI관-507,AI관,5,507,40,AI관-507
205,14206003,"목6 ,금6 ,금7",AI관-507,AI관,5,507,40,AI관-507
206,14798003,"월1 ,월2 ,월3",AI관-507,AI관,5,507,40,AI관-507
207,14798006,"수1 ,수2 ,수3",AI관-507,AI관,5,507,40,AI관-507
200,15978118,월10,AI관-507,AI관,5,507,20,AI관-507
212,06823003,"화4 ,화5 ,화6",AI관-508,AI관,5,508,60,AI관-508
213,06823004,"화7 ,화8 ,화9",AI관-508,AI관,5,508,60,AI관-508
214,08095005,"금1 ,금2 ,금3",AI관-508,AI관,5,508,60,AI관-508
215,08095006,"금6 ,금7 ,금8",AI관-508,AI관,5,508,60,AI관-508
216,13972003,"수1 ,수2 ,수3",AI관-508,AI관,5,508,60,AI관-508
217,13972004,"수6 ,수7 ,수8",AI관-508,AI관,5,508,60,AI관-508
218,13974004,"화1 ,화2 ,화3",AI관-508,AI관,5,508,60,AI관-508
208,14329004,"월1 ,월2 ,월3",AI관-508,AI관,5,508,60,AI관-508
209,14329005,"월4 ,월5 ,월6",AI관-508,AI관,5,508,60,AI관-508
210,14329006,"월7 ,월8 ,월9",AI관-508,AI관,5,508,60,AI관-508
219,14854001,"목1 ,목2 ,목3",AI관-508,AI관,5,508,60,AI관-508
220,14854002,"목4 ,목5 ,목6",AI관-508,AI관,5,508,60,AI관-508
221,14854003,"목7 ,목8 ,목9",AI관-508,AI관,5,508,60,AI관-508
211,15978119,월10,AI관-508,AI관,5,508,20,AI관-508
225,08095002,"월1 ,목2 ,목3",AI관-509,AI관,5,509,60,AI관-509
223,13974002,"월9 ,화1 ,화2",AI관-509,AI관,5,509,60,AI관-509
162,13978001,"월2 ,수4 ,수5",AI관-509,AI관,5,509,60,"AI관-414,AI관-509"
226,14394001,"월7 ,월8 ,화5",AI관-509,AI관,5,509,60,AI관-509
224,14397001,"월4 ,월5 ,수8",AI관-509,AI관,5,509,60,AI관-509
227,14398001,"수9 ,목8 ,목9",AI관-509,AI관,5,509,60,AI관-509
228,14399001,"수1 ,수2 ,수3",AI관-509,AI관,5,509,60,AI관-509
229,14400001,"금4 ,금5 ,금6",AI관-509,AI관,5,509,60,AI관-509
230,14401001,"월2 ,월3 ,화4",AI관-509,AI관,5,509,60,AI관-509
222,15933001,"월6 ,화6 ,화7",AI관-509,AI관,5,509,60,AI관-509
234,08095001,"목6 ,목7 ,금7",AI관-510,AI관,5,510,60,AI관-510
233,09571002,"목5 ,금5 ,금6",AI관-510,AI관,5,510,60,AI관-510
231,12849006,"수6 ,수7 ,수8",AI관-510,AI관,5,510,60,AI관-510
235,13119005,"목1 ,목2 ,목3",AI관-510,AI관,5,510,60,AI관-510
236,13972001,"화1 ,화2 ,화3",AI관-510,AI관,5,510,60,AI관-510
237,13972002,"화5 ,화6 ,화7",AI관-510,AI관,5,510,60,AI관-510
238,14207001,"수1 ,수2 ,수3",AI관-510,AI관,5,510,60,AI관-510
239,14798004,"월6 ,월7 ,월8",AI관-510,AI관,5,510,60,AI관-510
232,15978115,월10,AI관-510,AI관,5,510,20,AI관-510
241,10380002,"화6 ,화7 ,수6",AI관-511,AI관,5,511,70,AI관-511
250,14244001,"월3 ,월4 ,수7",AI관-511,AI관,5,511,65,"AI관-511,AI관-414"
251,14244002,"월5 ,월6 ,수8",AI관-511,AI관,5,511,65,"AI관-511,AI관-414"
245,14244003,"화3 ,화4 ,수4",AI관-511,AI관,5,511,71,AI관-511
240,14259001,"금1 ,금2",AI관-511,AI관,5,511,64,AI관-511
117,14270001,"수8 ,금4 ,금5",AI관-511,AI관,5,511,50,"AI관-409,AI관-511"
248,14271001,"수5 ,목1 ,목2",AI관-511,AI관,5,511,54,"AI관-511,AI관-409"
246,14448004,"월2 ,수2 ,수3",AI관-511,AI관,5,511,60,AI관-511
132,14455005,"수2 ,수3 ,목4",AI관-511,AI관,5,511,55,"AI관-411,AI관-511"
131,14457002,"화7 ,화8 ,목5",AI관-511,AI관,5,511,45,"AI관-411,AI관-511"
242,14457003,"수8 ,수9 ,목6",AI관-511,AI관,5,511,55,AI관-511
243,14461001,"화2 ,목2 ,목3",AI관-511,AI관,5,511,70,AI관-511
249,14467005,"수7 ,목2 ,목3",AI관-511,AI관,5,511,60,"AI관-511,AI관-411"
244,15190006,"금10 ,금11 ,금12",AI관-511,AI관,5,511,50,AI관-511
247,AIB03002,"토5 ,토6 ,토7 ,토8 ,일5 ,일6 ,일7 ,일8 ,일9",AI관-511,AI관,5,511,60,AI관-511
252,15978203,월10,AI관-714,AI관,7,714,21,AI관-714
256,15761002,"수1 ,수2 ,수3",AI관-715,AI관,7,715,30,AI관-715
253,15816001,"월1 ,월2 ,월3 ,월4",AI관-715,AI관,7,715,40,AI관-715
254,15816005,"화5 ,화6 ,화7 ,화8",AI관-715,AI관,7,715,40,AI관-715
255,15816006,"금5 ,금6 ,금7 ,금8",AI관-715,AI관,7,715,40,AI관-715
258,15761003,"수1 ,수2 ,수3",AI관-716,AI관,7,716,30,AI관-716
